time,side,volume,price,soc_before,soc_after,cost_convex,cost_linear
2024-02-01 00:00:00+00:00,charge,5.0,12.87,6.25,11.0,0.0,0.0
2024-02-01 01:00:00+00:00,discharge,5.0,104.99,11.0,6.0,25.91574736710173,20.0
2024-02-01 02:00:00+00:00,charge,5.0,11.82,6.0,10.75,0.0,0.0
2024-02-01 03:00:00+00:00,discharge,5.0,96.22,10.75,5.75,25.91574736710173,20.0
2024-02-01 04:00:00+00:00,charge,5.0,13.74,5.75,10.5,0.0,0.0
2024-02-01 05:00:00+00:00,discharge,5.0,103.82,10.5,5.5,25.91574736710173,20.0
2024-02-01 06:00:00+00:00,charge,5.0,12.29,5.5,10.25,0.0,0.0
2024-02-01 07:00:00+00:00,discharge,5.0,98.73,10.25,5.25,25.91574736710173,20.0
2024-02-01 08:00:00+00:00,charge,5.0,11.31,5.25,10.0,0.0,0.0
2024-02-01 09:00:00+00:00,discharge,5.0,97.69,10.0,5.0,25.91574736710173,20.0
2024-02-01 10:00:00+00:00,charge,5.0,15.43,5.0,9.75,0.0,0.0
2024-02-01 11:00:00+00:00,discharge,5.0,97.19,9.75,4.75,25.91574736710173,20.0
2024-02-01 12:00:00+00:00,charge,5.0,13.17,4.75,9.5,0.0,0.0
2024-02-01 13:00:00+00:00,discharge,5.0,103.22,9.5,4.5,25.91574736710173,20.0
2024-02-01 14:00:00+00:00,charge,5.0,10.58,4.5,9.25,0.0,0.0
2024-02-01 15:00:00+00:00,discharge,5.0,97.13,9.25,4.25,25.91574736710173,20.0
2024-02-01 16:00:00+00:00,charge,5.0,16.32,4.25,9.0,0.0,0.0
2024-02-01 17:00:00+00:00,discharge,5.0,101.62,9.0,4.0,25.91574736710173,20.0
2024-02-01 18:00:00+00:00,charge,5.0,15.8,4.0,8.75,0.0,0.0
2024-02-01 19:00:00+00:00,discharge,5.0,100.15,8.75,3.75,25.91574736710173,20.0
2024-02-01 20:00:00+00:00,charge,5.0,15.92,3.75,8.5,0.0,0.0
2024-02-01 21:00:00+00:00,discharge,5.0,101.66,8.5,3.5,25.91574736710173,20.0
2024-02-01 22:00:00+00:00,charge,5.0,16.88,3.5,8.25,0.0,0.0
2024-02-01 23:00:00+00:00,discharge,5.0,101.86,8.25,3.25,25.91574736710173,20.0
2024-02-02 00:00:00+00:00,charge,5.0,10.31,3.25,8.0,0.0,0.0
2024-02-02 01:00:00+00:00,discharge,5.0,98.49,8.0,3.0,25.91574736710173,20.0
2024-02-02 02:00:00+00:00,charge,5.0,17.77,3.0,7.75,0.0,0.0
2024-02-02 03:00:00+00:00,discharge,5.0,99.02,7.75,2.75,25.91574736710173,20.0
2024-02-02 04:00:00+00:00,charge,5.0,14.69,2.75,7.5,0.0,0.0
2024-02-02 05:00:00+00:00,discharge,5.0,104.41,7.5,2.5,25.91574736710173,20.0
2024-02-02 06:00:00+00:00,charge,5.0,14.19,2.5,7.25,0.0,0.0
2024-02-02 07:00:00+00:00,discharge,5.0,103.1,7.25,2.25,25.91574736710173,20.0
2024-02-02 08:00:00+00:00,charge,5.0,12.57,2.25,7.0,0.0,0.0
2024-02-02 09:00:00+00:00,discharge,5.0,100.33,7.0,2.0,25.91574736710173,20.0
2024-02-02 10:00:00+00:00,charge,5.0,14.58,2.0,6.75,0.0,0.0
2024-02-02 11:00:00+00:00,discharge,4.875,106.14,6.75,1.875,24.587449757032037,19.5
2024-02-02 12:00:00+00:00,charge,5.0,16.37,1.875,6.625,0.0,0.0
2024-02-02 13:00:00+00:00,discharge,4.75,97.48,6.625,1.875,23.259152146962343,19.0
2024-02-02 14:00:00+00:00,charge,5.0,15.36,1.875,6.625,0.0,0.0
2024-02-02 15:00:00+00:00,discharge,4.75,105.33,6.625,1.875,23.259152146962343,19.0
2024-02-02 16:00:00+00:00,charge,5.0,15.48,1.875,6.625,0.0,0.0
2024-02-02 17:00:00+00:00,discharge,4.75,101.72,6.625,1.875,23.259152146962343,19.0
2024-02-02 18:00:00+00:00,charge,5.0,11.1,1.875,6.625,0.0,0.0
2024-02-02 19:00:00+00:00,discharge,4.75,101.22,6.625,1.875,23.259152146962343,19.0
2024-02-02 20:00:00+00:00,charge,5.0,15.08,1.875,6.625,0.0,0.0
2024-02-02 21:00:00+00:00,discharge,4.75,102.16,6.625,1.875,23.259152146962343,19.0
2024-02-02 22:00:00+00:00,charge,5.0,15.08,1.875,6.625,0.0,0.0
2024-02-02 23:00:00+00:00,discharge,4.75,96.9,6.625,1.875,23.259152146962343,19.0
2024-02-03 00:00:00+00:00,charge,5.0,15.52,1.875,6.625,0.0,0.0
2024-02-03 01:00:00+00:00,discharge,4.75,99.88,6.625,1.875,23.259152146962343,19.0
2024-02-03 02:00:00+00:00,charge,5.0,13.67,1.875,6.625,0.0,0.0
2024-02-03 03:00:00+00:00,discharge,4.75,102.62,6.625,1.875,23.259152146962343,19.0
2024-02-03 04:00:00+00:00,charge,5.0,15.93,1.875,6.625,0.0,0.0
2024-02-03 05:00:00+00:00,discharge,4.75,96.56,6.625,1.875,23.259152146962343,19.0
2024-02-03 06:00:00+00:00,charge,5.0,16.01,1.875,6.625,0.0,0.0
2024-02-03 07:00:00+00:00,discharge,4.75,105.0,6.625,1.875,23.259152146962343,19.0
2024-02-03 08:00:00+00:00,charge,5.0,13.95,1.875,6.625,0.0,0.0
2024-02-03 09:00:00+00:00,discharge,4.75,102.57,6.625,1.875,23.259152146962343,19.0
2024-02-03 10:00:00+00:00,charge,5.0,12.38,1.875,6.625,0.0,0.0
2024-02-03 11:00:00+00:00,discharge,4.75,101.42,6.625,1.875,23.259152146962343,19.0
2024-02-03 12:00:00+00:00,charge,5.0,16.73,1.875,6.625,0.0,0.0
2024-02-03 13:00:00+00:00,discharge,4.75,104.35,6.625,1.875,23.259152146962343,19.0
2024-02-03 14:00:00+00:00,charge,5.0,10.83,1.875,6.625,0.0,0.0
2024-02-03 15:00:00+00:00,discharge,4.75,106.81,6.625,1.875,23.259152146962343,19.0
2024-02-03 16:00:00+00:00,charge,5.0,12.59,1.875,6.625,0.0,0.0
2024-02-03 17:00:00+00:00,discharge,4.75,98.4,6.625,1.875,23.259152146962343,19.0
2024-02-03 18:00:00+00:00,charge,5.0,15.98,1.875,6.625,0.0,0.0
2024-02-03 19:00:00+00:00,discharge,4.75,104.74,6.625,1.875,23.259152146962343,19.0
2024-02-03 20:00:00+00:00,charge,5.0,12.54,1.875,6.625,0.0,0.0
2024-02-03 21:00:00+00:00,discharge,4.75,103.08,6.625,1.875,23.259152146962343,19.0
2024-02-03 22:00:00+00:00,charge,5.0,13.49,1.875,6.625,0.0,0.0
2024-02-03 23:00:00+00:00,discharge,4.75,97.67,6.625,1.875,23.259152146962343,19.0
2024-02-04 00:00:00+00:00,charge,5.0,14.76,1.875,6.625,0.0,0.0
2024-02-04 01:00:00+00:00,discharge,4.75,100.91,6.625,1.875,23.259152146962343,19.0
2024-02-04 02:00:00+00:00,charge,5.0,16.53,1.875,6.625,0.0,0.0
2024-02-04 03:00:00+00:00,discharge,4.75,100.94,6.625,1.875,23.259152146962343,19.0
2024-02-04 04:00:00+00:00,charge,5.0,16.97,1.875,6.625,0.0,0.0
2024-02-04 05:00:00+00:00,discharge,4.75,98.11,6.625,1.875,23.259152146962343,19.0
2024-02-04 06:00:00+00:00,charge,5.0,13.37,1.875,6.625,0.0,0.0
2024-02-04 07:00:00+00:00,discharge,4.75,102.12,6.625,1.875,23.259152146962343,19.0
2024-02-04 08:00:00+00:00,charge,5.0,14.28,1.875,6.625,0.0,0.0
2024-02-04 09:00:00+00:00,discharge,4.75,100.99,6.625,1.875,23.259152146962343,19.0
2024-02-04 10:00:00+00:00,charge,5.0,16.21,1.875,6.625,0.0,0.0
2024-02-04 11:00:00+00:00,discharge,4.75,105.33,6.625,1.875,23.259152146962343,19.0
2024-02-04 12:00:00+00:00,charge,5.0,11.38,1.875,6.625,0.0,0.0
2024-02-04 13:00:00+00:00,discharge,4.75,100.41,6.625,1.875,23.259152146962343,19.0
2024-02-04 14:00:00+00:00,charge,5.0,11.42,1.875,6.625,0.0,0.0
2024-02-04 15:00:00+00:00,discharge,4.75,103.4,6.625,1.875,23.259152146962343,19.0
2024-02-04 16:00:00+00:00,charge,5.0,11.2,1.875,6.625,0.0,0.0
2024-02-04 17:00:00+00:00,discharge,4.75,100.32,6.625,1.875,23.259152146962343,19.0
2024-02-04 18:00:00+00:00,charge,5.0,16.07,1.875,6.625,0.0,0.0
2024-02-04 19:00:00+00:00,discharge,4.75,96.5,6.625,1.875,23.259152146962343,19.0
2024-02-04 20:00:00+00:00,charge,5.0,12.71,1.875,6.625,0.0,0.0
2024-02-04 21:00:00+00:00,discharge,4.75,100.72,6.625,1.875,23.259152146962343,19.0
2024-02-04 22:00:00+00:00,charge,5.0,14.82,1.875,6.625,0.0,0.0
2024-02-04 23:00:00+00:00,discharge,4.75,95.51,6.625,1.875,23.259152146962343,19.0
2024-02-05 00:00:00+00:00,charge,5.0,12.07,1.875,6.625,0.0,0.0
2024-02-05 01:00:00+00:00,discharge,4.75,105.37,6.625,1.875,23.259152146962343,19.0
2024-02-05 02:00:00+00:00,charge,5.0,14.18,1.875,6.625,0.0,0.0
2024-02-05 03:00:00+00:00,discharge,4.75,96.58,6.625,1.875,23.259152146962343,19.0
2024-02-05 04:00:00+00:00,charge,5.0,13.4,1.875,6.625,0.0,0.0
2024-02-05 05:00:00+00:00,discharge,4.75,104.14,6.625,1.875,23.259152146962343,19.0
2024-02-05 06:00:00+00:00,charge,5.0,15.02,1.875,6.625,0.0,0.0
2024-02-05 07:00:00+00:00,discharge,4.75,97.11,6.625,1.875,23.259152146962343,19.0
2024-02-05 08:00:00+00:00,charge,5.0,11.86,1.875,6.625,0.0,0.0
2024-02-05 09:00:00+00:00,discharge,4.75,103.62,6.625,1.875,23.259152146962343,19.0
2024-02-05 10:00:00+00:00,charge,5.0,16.5,1.875,6.625,0.0,0.0
2024-02-05 11:00:00+00:00,discharge,4.75,101.75,6.625,1.875,23.259152146962343,19.0
2024-02-05 12:00:00+00:00,charge,5.0,14.97,1.875,6.625,0.0,0.0
2024-02-05 13:00:00+00:00,discharge,4.75,103.49,6.625,1.875,23.259152146962343,19.0
2024-02-05 14:00:00+00:00,charge,5.0,11.26,1.875,6.625,0.0,0.0
2024-02-05 15:00:00+00:00,discharge,4.75,103.1,6.625,1.875,23.259152146962343,19.0
2024-02-05 16:00:00+00:00,charge,5.0,12.69,1.875,6.625,0.0,0.0
2024-02-05 17:00:00+00:00,discharge,4.75,102.59,6.625,1.875,23.259152146962343,19.0
2024-02-05 18:00:00+00:00,charge,5.0,14.79,1.875,6.625,0.0,0.0
2024-02-05 19:00:00+00:00,discharge,4.75,104.3,6.625,1.875,23.259152146962343,19.0
2024-02-05 20:00:00+00:00,charge,5.0,12.34,1.875,6.625,0.0,0.0
2024-02-05 21:00:00+00:00,discharge,4.75,99.56,6.625,1.875,23.259152146962343,19.0
2024-02-05 22:00:00+00:00,charge,5.0,13.47,1.875,6.625,0.0,0.0
2024-02-05 23:00:00+00:00,discharge,4.75,98.42,6.625,1.875,23.259152146962343,19.0
2024-02-06 00:00:00+00:00,charge,5.0,11.74,1.875,6.625,0.0,0.0
2024-02-06 01:00:00+00:00,discharge,4.75,104.98,6.625,1.875,23.259152146962343,19.0
2024-02-06 02:00:00+00:00,charge,5.0,11.49,1.875,6.625,0.0,0.0
2024-02-06 03:00:00+00:00,discharge,4.75,99.63,6.625,1.875,23.259152146962343,19.0
2024-02-06 04:00:00+00:00,charge,5.0,16.25,1.875,6.625,0.0,0.0
2024-02-06 05:00:00+00:00,discharge,4.75,97.43,6.625,1.875,23.259152146962343,19.0
2024-02-06 06:00:00+00:00,charge,5.0,10.53,1.875,6.625,0.0,0.0
2024-02-06 07:00:00+00:00,discharge,4.75,98.75,6.625,1.875,23.259152146962343,19.0
2024-02-06 08:00:00+00:00,charge,5.0,11.87,1.875,6.625,0.0,0.0
2024-02-06 09:00:00+00:00,discharge,4.75,102.1,6.625,1.875,23.259152146962343,19.0
2024-02-06 10:00:00+00:00,charge,5.0,14.61,1.875,6.625,0.0,0.0
2024-02-06 11:00:00+00:00,discharge,4.75,106.06,6.625,1.875,23.259152146962343,19.0
2024-02-06 12:00:00+00:00,charge,5.0,12.64,1.875,6.625,0.0,0.0
2024-02-06 13:00:00+00:00,discharge,4.75,105.29,6.625,1.875,23.259152146962343,19.0
2024-02-06 14:00:00+00:00,charge,5.0,12.92,1.875,6.625,0.0,0.0
2024-02-06 15:00:00+00:00,discharge,4.75,96.61,6.625,1.875,23.259152146962343,19.0
2024-02-06 16:00:00+00:00,charge,5.0,11.24,1.875,6.625,0.0,0.0
2024-02-06 17:00:00+00:00,discharge,4.75,101.54,6.625,1.875,23.259152146962343,19.0
2024-02-06 18:00:00+00:00,charge,5.0,15.5,1.875,6.625,0.0,0.0
2024-02-06 19:00:00+00:00,discharge,4.75,97.53,6.625,1.875,23.259152146962343,19.0
2024-02-06 20:00:00+00:00,charge,5.0,12.31,1.875,6.625,0.0,0.0
2024-02-06 21:00:00+00:00,discharge,4.75,100.55,6.625,1.875,23.259152146962343,19.0
2024-02-06 22:00:00+00:00,charge,5.0,12.53,1.875,6.625,0.0,0.0
2024-02-06 23:00:00+00:00,discharge,4.75,101.91,6.625,1.875,23.259152146962343,19.0
2024-02-07 00:00:00+00:00,charge,5.0,11.66,1.875,6.625,0.0,0.0
2024-02-07 01:00:00+00:00,discharge,4.75,105.91,6.625,1.875,23.259152146962343,19.0
2024-02-07 02:00:00+00:00,charge,5.0,17.44,1.875,6.625,0.0,0.0
2024-02-07 03:00:00+00:00,discharge,4.75,102.21,6.625,1.875,23.259152146962343,19.0
2024-02-07 04:00:00+00:00,charge,5.0,13.3,1.875,6.625,0.0,0.0
2024-02-07 05:00:00+00:00,discharge,4.75,102.8,6.625,1.875,23.259152146962343,19.0
2024-02-07 06:00:00+00:00,charge,5.0,16.65,1.875,6.625,0.0,0.0
2024-02-07 07:00:00+00:00,discharge,4.75,100.51,6.625,1.875,23.259152146962343,19.0
2024-02-07 08:00:00+00:00,charge,5.0,12.97,1.875,6.625,0.0,0.0
2024-02-07 09:00:00+00:00,discharge,4.75,99.29,6.625,1.875,23.259152146962343,19.0
2024-02-07 10:00:00+00:00,charge,5.0,11.67,1.875,6.625,0.0,0.0
2024-02-07 11:00:00+00:00,discharge,4.75,101.64,6.625,1.875,23.259152146962343,19.0
2024-02-07 12:00:00+00:00,charge,5.0,14.35,1.875,6.625,0.0,0.0
2024-02-07 13:00:00+00:00,discharge,4.75,100.48,6.625,1.875,23.259152146962343,19.0
2024-02-07 14:00:00+00:00,charge,5.0,12.99,1.875,6.625,0.0,0.0
2024-02-07 15:00:00+00:00,discharge,4.75,100.74,6.625,1.875,23.259152146962343,19.0
2024-02-07 16:00:00+00:00,charge,5.0,17.54,1.875,6.625,0.0,0.0
2024-02-07 17:00:00+00:00,discharge,4.75,99.98,6.625,1.875,23.259152146962343,19.0
2024-02-07 18:00:00+00:00,charge,5.0,14.4,1.875,6.625,0.0,0.0
2024-02-07 19:00:00+00:00,discharge,4.75,99.67,6.625,1.875,23.259152146962343,19.0
2024-02-07 20:00:00+00:00,charge,5.0,17.82,1.875,6.625,0.0,0.0
2024-02-07 21:00:00+00:00,discharge,4.75,104.01,6.625,1.875,23.259152146962343,19.0
2024-02-07 22:00:00+00:00,charge,5.0,14.04,1.875,6.625,0.0,0.0
2024-02-07 23:00:00+00:00,discharge,4.75,98.41,6.625,1.875,23.259152146962343,19.0
2024-02-08 00:00:00+00:00,charge,5.0,15.11,1.875,6.625,0.0,0.0
2024-02-08 01:00:00+00:00,discharge,4.75,105.07,6.625,1.875,23.259152146962343,19.0
2024-02-08 02:00:00+00:00,charge,5.0,12.73,1.875,6.625,0.0,0.0
2024-02-08 03:00:00+00:00,discharge,4.75,105.72,6.625,1.875,23.259152146962343,19.0
2024-02-08 04:00:00+00:00,charge,5.0,14.72,1.875,6.625,0.0,0.0
2024-02-08 05:00:00+00:00,discharge,4.75,100.29,6.625,1.875,23.259152146962343,19.0
2024-02-08 06:00:00+00:00,charge,5.0,14.53,1.875,6.625,0.0,0.0
2024-02-08 07:00:00+00:00,discharge,4.75,103.32,6.625,1.875,23.259152146962343,19.0
2024-02-08 08:00:00+00:00,charge,5.0,11.4,1.875,6.625,0.0,0.0
2024-02-08 09:00:00+00:00,discharge,4.75,98.33,6.625,1.875,23.259152146962343,19.0
2024-02-08 10:00:00+00:00,charge,5.0,10.92,1.875,6.625,0.0,0.0
2024-02-08 11:00:00+00:00,discharge,4.75,96.99,6.625,1.875,23.259152146962343,19.0
2024-02-08 12:00:00+00:00,charge,5.0,11.9,1.875,6.625,0.0,0.0
2024-02-08 13:00:00+00:00,discharge,4.75,100.92,6.625,1.875,23.259152146962343,19.0
2024-02-08 14:00:00+00:00,charge,5.0,13.3,1.875,6.625,0.0,0.0
